Alas;Indo;Domain;;History;Instructions;Culture/Tourism;Story/narrative;
ulang tekhidhah Dhe kite kelok mejase ne bhane,ulang tuntut ulang Kane hakhap Ken imbalen;;NULL;;;;;;
gelakh restoran ku ku bhahan gat mebhelin gelakh ku Adhi ,gat kulinekh ne ku bhahan khas alas nde,sebhab keluakhge khut jabhu ku sintekhem ngakapi penasak en ku masak telu khut manuk labakh e Ndak wayang kidhah get ne ate Kalak dhi;;NULL;;;;;;
Nate ku Ndak bhang mimpi pelin,tapi ku kabulken bhagas kenyataan ne pe,nateku mimpi ku tentang aku njadhi ame si mantap untuk anak ku,bekhu si Sholeha untuk lakiku;;NULL;;;;;;
festival jep tahun e,sebhab ni hadhi kekhine ni tampil Ken takhinen khut bakat anak mudhe ni tekhusken;;Culture/Tourism;;;;;;
Dhe Kase jemene si ndayeken bakhang e cekhagan,aku gat si cekhagan ne,sebhab aku nde Ndak kusup sengep sengep Dhe jawapi Kalak,Edhi amin amin mbiakh aku pengakhuh mbelin kukap bhe Kalak pe,sebhab Mahan pekakhe;;NULL;;;;;;
gakhami,me naleme gat sengep,gat timai bakhang bhene e medhalan sadhe gat nenggo i khut nggamit i kite,ne Ndak mungkin kenin idhah;;NULL;;;;;;
bahase nde Mahan kite mudah untuk saling memahami maksud khut tujuen bhagas ate,si kite pikekhken pe Nemu kite sebhut Ken melalui bhabhah khut bahase,Kalak si mege Ken se pe faham khut ngekhti kae si kite kateken melalui bahase;;NULL;;;;;;
sbehab kami nggeluh ne kandung hukum mate ni kandung adat,gedhi;;NULL;;;;;;
sebhab Dhe tekhcape Kase keinginan Kalak si susah payah iye bangun se iye tangis bahagie kakhene tekhahkhu iye Nemu ni cape ne keinginen ne;;NULL;;;;;;
aku mekhakap kune Kase Nemu ku seleseken kuliah ku,bahagie Ken khangtue ku,njadhi anak si megeken cekhok,madhe pingokh ni njeme tekhem,khut ni hakhgai Kalak si ndebhanen;;NULL;;;;;;
si ngelahekh Ken kite ame,si nggeluhi kite khut bhelanje ,uwan,si nyekolahken kite,nukhuti kae ninte,kae natete,kae si kukhang,kae si pokhlu kekhine khangtue,Dhe madhe Kase megeken cekhok pagi gat mengket nekhake;;NULL;;;;;;
laus lajang bekhastagi ,khidi Lawe belekhang khut imbang imbang pe,Hawe bhogoh Lawe ne hangat khut mbau belekhang sehingge kami bhalik mbau jagung bheganh;;NULL;;;;;;
ni hande mbue tong ,tapi jakhang nggo ni main Ken,bhage Genggong si Ndak kami idhah nge khupe ne Soh sendha;;Culture/Tourism;;;;;;
Dhe Ndak khakhih pot gat dhabuh dhang mehonda,Dhe Ndak teliti pot gat salah mahani kae pe;;NULL;;;;;;
sebhab keukhoken kite ni hadhi,kite mekhase menekhusken kae si nggo tekhtanem bhagas dikhi;;NULL;;;;;;
kami Dhe mangan Kase idhangi khut mangan sebhuah keluakhge;;NULL;;;;;;
bhage bhuku, Kalak si Mahan bhuku cekhitene ni bhahan kisah nyata nakhi,Edhi me si mantap ne kukhase kakhye;;NULL;;;;;;
Dhie let Ndak bhasuh kidhing sikel medhem dhang cut,gat medhem pelin amin tekhus,gat mimpi aku tsunami mebhelin kidhah ,meletok Lawe ne,medhookh kelok ,kekhas sakhe lawene pe ,manun nen kidhah jeme kekhine ngkahe,ku tolong nateku tapi Ndak mampu tangan ku ngalap kekhine jeme si melintas ngelewati aku e,pekhak aku Soh tebhe sadakh ku mimpi ku akhi,aku mekhase aneh,kae gat tangis ku ni nipi tapi iluh ku Soh kasukh ku;;NULL;;;;;;
malet kekhine mekabakh baik ,lebhe khoh sekhik ne nggeluh ne,lebhe nggo kawin nggo mekhumah tangge tapi khoh bhelin ne beban ne,tapi mbue Kane si nggo njadhi en pe;;NULL;;;;;;
tibhe tibhe khoh sen seiket ,gat kune aku tangis ne,tadhi gat;;NULL;;;;;;
ndalani si ku dhalani sendah nde, sebhab khamah pe mbabhai kawin tipis iman te PE gat kuliah;;NULL;;;;;;
si malet mampu mengguneken akal ne secakhe mejile bhage kite si sehat nde;;NULL;;;;;;
bahase inggkhis,khut agame ,sebhab agame nde mimpin kekhine;;NULL;;;;;;
sebhab jemene jujukh Ndak penah pot nambahi cekhok Dhe cekhite;;NULL;;;;;;
ulang nambahi pikeren ulang mbue pidhonen;;NULL;;;;;;
kae Ken naleme Dhe nggo tadhingken ne kite,ate te nggo pahe mekhuas,tapi Dhe bhalik Ken tule bhe dikhi te,kae sebhab tadhingken ne kite,Dhe Ndak kakhene let si nggo lebhih kite akhi,bekhakhti kite nde malet pet mekhobah lebih jilenen tule si bhage Nate ne e;;NULL;;;;;;
Ndak pet mbue cekhok,jujukh,malet pot nambahi cekhite,mekhesen;;NULL;;;;;;
lebhe hobi iye ketike iye mbace e mengket bhagas ingeten ne ,faham iye melalui membace e,lebhe hobien memahami kae PE melalui Vidio sebhab ndak nae payah membace te nada ne pe nemu lgsg ni fahami;;NULL;;;;;;
khe mangan,pekhidi,mejile bhahan kas ne medhem ,te bokhsih;;NULL;;;;;;
Membuke akses pekhingkat aplikasi dan mahan menu masukan ataupe sakhan-sakhan;;NULL;;;;;;
ikata adalah sebuah aplikasi bahasa yang mejile untuk meningkatken kemampuen berbahasa alas dan indonesia sekhte dapet melesterikan bahasa alas secara ndak langsung;;NULL;;;;;;
malet ketoh kae pe politik liberal ni kute cane Ende;;NULL;;;;;;
si favorit Ken ni dunie ende me edi me pemain bola kaki Cristian Ronaldo?;;NULL;;;;;;
jeme si menyukai makanan Edi me mencicipi;;NULL;;;;;;
si bahan Ndak fokus nae Edi mbuesu melelo;;NULL;;;;;;
Si bahan geluhku sendah nggo mekhobah malot lain kahene doe khut usahe khangtue si senakhen pidho sidhe bhe Tuhan;;NULL;;;;;;
hal-hal si mahan aku menyesal antakhe ne : ngekhjeken hal si ndak mejile, pekojanen sie-sie;;NULL;;;;;;
pesanku malot mbue khajin ibadah bhe tuhan, patuh bhe khangtue, khajin mekhusahe;;Story/narrative;;;;;;
si mu kucekhiteken pengalamen si mehakhge, si megune bhe kalak ntekhem;;Story/narrative;;;;;;
hakhus jujukh, kunci ngeluh nde ulang bhual;;Story/narrative;;;;;;
kisah si paling menggugah bhagas geluhku, tentang sedekah mu mahan kite bahagie tibhe-tibhe tanpa kite toh;;Story/narrative;;;;;;
bekhjuang ni kute kalak, sekolah sesade, nggeluh sesade ni khanto kalak, khut ketekunen akhirne mu kulewati mase-mase sulit;;Story/narrative;;;;;;
si ku dapet pelajaran ni jaman ndube  Edi me tentang ekonomi jaman sendah Edi tantangan si berat ni Indonesia ende;;History;;;;;;
ketika belande menjajah kute q Edi me terjadi pekhang khut khubat;;History;;;;;;
zaman sejarah terjadi bhamjir ni banda Aceh Edi me terjadi gempa ni sejarah siap Edi Lawe laut surut;;History;;;;;;
akibatne mbue masyakhakat khusus ne Suku Alas bahasa Alas semakin wakhi semakin bhene, meganti khut budaye baru tekhmasuk bahasa;;History;;;;;;
hal-hal simempengakhuhiku sehingge sendah nemu sebage tenage pendidiken atope gukhu antakhe ne : khangtue sisenakhen mendukung khut mendoeken aku, sehingge aku enggo njadhi kalak megune, imbang-imbang ku pe senakhen mekheken semangat khut dukungen;;History;;;;;;
lotne bhelande menjajah negekhi kami Tanoh Alas metuah nde, mbue sisi negatif ne khut sisi mejile ne, sisi negatif ne budaya Alas mekhubah, ngikuti budaye Belande;;History;;;;;;
pengalamen sipaling mejile si penah kualami waktu aku bhe kas wisata, menyaksiken keindahen ciptaen tuhan si malot tekhbhatas;;Culture/Tourism;;;;;;
taman leuser, mbue tumbuhen khut hewan si mu langsung kite ato bhe kas ne tanpa pekhantakhe;;Culture/Tourism;;;;;;
Leuser di Kutacane, mbue hewan si mu kite ato langsung bhe dheleng kas ne;;Culture/Tourism;;;;;;
khak pengunjung pariwisata mu kite kenalken budaya khut keindahen tanoh Alas te, si mbue kalak mange toh ne ni ande;;Culture/Tourism;;;;;;
dhe khoh bhe kutecane hendakne ngato-ngato bhe taman leuser kakhene tong alami;;Culture/Tourism;;;;;;
budayene bede khut budaye lain, misalne adat pesenatken pekawinken, mebhagah anak malu, pemamanen;;Culture/Tourism;;;;;;
hibukhen tradisonal si nggo bene ni kutacane nde genggong, pelebhat, mesekat, tangis dhilo, ende mbue maknane, cukup unik khut menghibur masyarakat kami tp malot nae sendah;;Culture/Tourism;;;;;;
gobhak, ende alat angkut jeme khut bakhang die ni kutecane nde sebelum lot motokh ni ande;;Culture/Tourism;;;;;;
ni budaye kami gelakhne melagam, ncekhiteken cekhite masalah kehidupen, atope sesukuten cekhite mange medhem;;Culture/Tourism;;;;;;
sistem meagame ni kutecane nde masyakhakatne taat, budaye Alas malot metentangen khut adat-istiadat kami;;Culture/Tourism;;;;;;
te pet kamu menjadi pemimpin, hal kae-kae plin si kamu tetapken be tekhuhen mu;;NULL;;;;;;
cekhite ken kune peran pendidiken khut pembelajakhen ni bagas budaya mu, termasuk tradisi atau praktik unik;;Culture/Tourism;;;;;;
te misal ne kamu ni tugas ken untuk mendesain acakhen ni bagas tv kune nate mu jadi ne;;NULL;;;;;;
kae sebab ne kalak e gat nemu tawe  padahal malet lucu pe si aku ucap ken;;NULL;;;;;;
kune cakhe standar kecantikan berubah ni bagas geluh mu;;NULL;;;;;;
kae kae plin cekhite si terbaik ni bagas sekolah mu atau pe ni bagas kas mu mebahan;;NULL;;;;;;
kune cakhe ne atau kune yang terbaik menurut mu untuk mencapai sebuah tujuen;;NULL;;;;;;
kune denoh ne kamu khut keluakhge mu, kae kae plin waktu kamu sedang cenek lebih baik buen kalak;;NULL;;;;;;
menurut mu sendikhi ape kah kamu denoh khut amek ku?;;NULL;;;;;;
ape kah kamu denoh khut pae mu, kune hubungen mu antakhe kamu khut pae mu;;NULL;;;;;;
te misal ne kamu menjalin hubungen khut kalak, hal kae kae plin si hakhus pasangen mu metoh tentang dikhi mu;;NULL;;;;;;
cekhite ken pengalaman atau pe peristiwa si paling mele kamu khase ken ni bagas geluh mu;;NULL;;;;;;
coba sebut ken hal hal kae plin si get ate mu dakhi pasangen mu sendikhi;;NULL;;;;;;
menukhut mu sendikhi kae kae plin si malet nemu ni jadi ken bahan untuk lelo atau pe lelucon;;NULL;;;;;;
te misal ne let salah satu keluarga mu hakhus nading ken,  nadingken ise si paling sulit si paling sulit untuk kamu tekhime dan cube sebut ken kae alasen mu;;NULL;;;;;;
menurut mu dape lebih baik let sen malet pakek habis habis atau kasih sayang si malet terhingga kune cakhe ne kamu milih se;;NULL;;;;;;
menurut mu sendikhi dape lebih penting hubungen mu khut imbang atau pasangen mu, cube sebut ken alasen ne;;NULL;;;;;;
te misal ne kamu lebih memilih kalak jujukh atau kalak menghargai mu dan pet menjage pekhasaen mu walau pe hakhus pebual;;NULL;;;;;;
hal hal kae plin si enggo kamu bahanni tapi sejujukh ne kamu malet nangat untuk mahanni bahanen tersebut;;NULL;;;;;;
cube sebut ken nasehat nasehat kae plin si pernah kene khe ken bamu;;NULL;;;;;;
cube sebut ken kae kae plin si kamu bahanni ni waktu kamu sedang mengasa ate be kalak;;NULL;;;;;;
te misal ne let waktu untuk momen ni bagas dunie nde dan kalak pe pokus megeken cekhok mu, hal hal kae plin si nangat kamu ucapken;;NULL;;;;;;
kamu percaye  takdikh manusie atau yang mengendalikan diri sendikhi, kae sebab ne gat nemu gedi;;NULL;;;;;;
cube cekhite ken kae kae plin kelebihen ni bagas dikhi mu sendikhi;;NULL;;;;;;
cube cekhite ken kae kae plin kekukhangen mu ni bagas dikhi mu sendikhi;;NULL;;;;;;
ape kah get ate mu waktu imbang mu mekhe makanen atau pe lelo ne bamu  kae sebab ne gat get ate mu;;NULL;;;;;;
menukhut mu, kune cakhe ne hewan gat nemu mecekhok, kae sebab ne gat nemu kamu mepikekh begedi;;NULL;;;;;;
te misal ne kamu ni luakh khumah sepanjang wakhi, kae kae plin kamu bahanni ni luakh khumah ge;;NULL;;;;;;
kikhe kikhe, kune plin cakhe ne kamu gat nemu mimpi bongi nde;;NULL;;;;;;
menukhut mu sendikhi kae kae plin si paling terbaik ni dunie nde tentang alam;;NULL;;;;;;
kae kae plin kenangen ni bagas geluh mu si paling mahan kamu bahagie;;NULL;;;;;;
kae kae plin menukhut nu mahan kalak gat nemu mekhase kuat atau pe mekhase berenergi;;NULL;;;;;;
cube sebut ken kae kae plin hal si mahan kamu mekhase hebat ni dunie nde;;NULL;;;;;;
te seadai ne let libukh sekolah kae kae plin si kamu bahanni atau pe aktivitas mu waktu libukh;;NULL;;;;;;
te seadai ne let imbang mu sukhuh ne simpan khasie dan kamu malet tenang untuk nyimpan khasie ge, kae si kamu bahanni untuk menanggapi se;;NULL;;;;;;
hal kae plin si biase ne kamu lakuken ni akhi pekan atau pe wakhi minggu;;NULL;;;;;;
cube sebut ken menukhut mu sendiri kae plin kesan mu terhadap aplikasi ikata nde;;NULL;;;;;;
kae kae plin hal si mahan kamu mekhase panek ni bagas aktivitas atau pe khut imbang;;NULL;;;;;;
kune pendapat mu atau pe kune menukhut mu ni bagas pernikahan sendah nde;;NULL;;;;;;
cube jelas ken pendapat mu sendikhi kune tanggung jawab seorang suami ni bagas khumah tangge;;NULL;;;;;;
cube kamu jelas ken menukhut mu sendikhi kune hak suami ni bagas khumah tangge;;NULL;;;;;;
kae kae plin aktivitas atau kegiaten mu ni wakhi nde;;NULL;;;;;;
cube jelas ken kae gat nemu kamu memutusken untuk nokokh khumah;;NULL;;;;;;
menurut mu sendikhi kune cakhe mu untuk menyelesaiken tugas ni bagas sekolah;;NULL;;;;;;
menurut mu sendikhi kae kae plin hal si paling penting ni bagas geluh ni dunie nde;;NULL;;;;;;
menurut pendapat mu sendiri kae gat nemu kalak mekhumah tangge gat nemu cekhe atau pe pisah;;NULL;;;;;;
cube jelas ken cakhe Indonesia untuk menjadi negakhe yang maju;;NULL;;;;;;
cube jelas ken kae alasen mu pet atau pe tidak untuk memiliki anak ni bagas khumah tangge;;NULL;;;;;;
menukhut mu sendikhi kune teknologi masa depan pagi;;NULL;;;;;;
kae alasen mu gat malet get ate mu minum kopi atau pe kae alasen mu gat nemu get ate mu minum kopi;;NULL;;;;;;
cube jelas ken kae gat nemu ni kate ken lebih mejile buet ni pagi wakhi;;NULL;;;;;;
menurut pendapet mu sendikhi kune cakhe ne nemu geluh ni dunie nde dengan lebih baik;;NULL;;;;;;
cube jelas ken kune cakhe mu garammi kas mangan ni bagas bulan puase;;NULL;;;;;;
cube cekhite ken bahannen atau pe aktivitas mu ni bagas wakhi nde;;NULL;;;;;;
kune gat nemu sesuatu menjadi pengaruh terbelin ni saat kamu menentuken pilihen mu dan kae alasen ne;;NULL;;;;;;
cube jelas ken dape akhi kamu gat nemu metoh aplikasi ikata nde;;NULL;;;;;;
cube jelas ken kune cakhe mu menggambakh ken aplikasi si kamu guneken nde;;NULL;;;;;;
cube jelas ken atau cube sebut ken kune cakhe mu untuk mesan tiket penerbangen, bus atau pe kereta api ni saat gawat darurat;;NULL;;;;;;
kune jelas ken kune cakhe mu mengganti layakh hendpone mu te enggo khusak;;NULL;;;;;;
cube jelas ken kune gat nemu kamu toh aplikasi ikata nde;;NULL;;;;;;
jelas ken kune sesuatu nemu menghentiken mu mencapai si nangat kamu capai;;NULL;;;;;;
cube jelas ken pendapet mu sendikhi kune cakhe mu membedeken kualitas bakhang mejile khut ndak mejile;;NULL;;;;;;
cube khe ken saran bami hal kae si dapet kami tinggak ken ni bagas aplikasi ikata nde;;NULL;;;;;;
sebut ken proses kae si enggo kamu lalui untuk menentuken kebutuhen mu;;NULL;;;;;;
kae si kamu tukokh si paling penting menukhut mu dan cube jelas ken kae sebab ne gat penting;;NULL;;;;;;
sebut ken langkah langkah ni saat kamu belanje online;;NULL;;;;;;
jelas ken kune kamu mencapai tujuen mu si nangat kamu capai;;NULL;;;;;;
cube jelas ken kune cakhe kamu garammi inspirasi ni suatu lingkungen;;NULL;;;;;;
tantangen kae si kamu hadapi saat sendah nde;;NULL;;;;;;
cube jelasken kae gat nemu kamu memilih aplikasi ikata nde ni bandingken melakuken kegiaten yang lain;;NULL;;;;;;
sebut ken solusi mu mengenai masalah lingkungen mu saat nde;;NULL;;;;;;
cube jelas ken kae sebab ne mengetahui peristiwa untuk saat nde penting;;NULL;;;;;;
kune pendapat mu tentang sesuatu si malet kamu sangke akan terjadi;;NULL;;;;;;
cube jelas ken kune cakhe mu melakuken hal sebelum ne si mange kamu lakuken atau pe si enggo pernah kamu lakuken;;NULL;;;;;;
jelas ken lingkungen kerja ideal mu si kamu inginken;;NULL;;;;;;
soal Edi malet permasalahan sebab karena ngo cukup umur Nemu milih;;NULL;;;;;;
cekhite ken saat kamu let masalah dan kune kamu menangani masalah tersebut;;NULL;;;;;;
karena jangan kite dengar Edi make lucu kite rase;;NULL;;;;;;
cube jelas ken kae alasen mu gat nemu kamu tertarik dengan sesuatu;;NULL;;;;;;
menurut q date ni internet ni proses khut mesin;;NULL;;;;;;
cube jelas ken kune cakhe mu meningkat ken cakhe mebahan mu berkelompok;;NULL;;;;;;
kae plin nasehat si kamu khe ken untuk dikhi mu sendikhi sewaktu kamu tong umukh 15 tahun;;NULL;;;;;;
kenekae biasene kau nemu gembikhi, kadang gegakhe iye dapet sen pe pot gembikhi iye edi;;NULL;;;;;;
menukhut mu, kune cakhe ne kami nemu meningkatken fitur bakhu aplikasi kami;;NULL;;;;;;
kune cakhemu tangani kalak kritis, cakhe ku kae neleme mbah me Khumah sakit tapekhken iye kane mate;;NULL;;;;;;
dengan care aku menangi keritik Edi ku tentukan dulu topiknya;;NULL;;;;;;
cube jelas ken kune kamu menggambakhken pengalamen mu menggunaken ikata nde;;NULL;;;;;;
alasan ku tadingken bahane q si ngo ndekah Edi me kurang taboh bekasne;;NULL;;;;;;
kae plin alasen mu ketike nadingken bahanen mu sebelumne?;;NULL;;;;;;
kae kae plin si kamu ketahui mengenai pandangen politik liberal;;NULL;;;;;;
cube jelas ken kae gat nemu terorisme payah untuk ni berantas;;NULL;;;;;;
menukhut q rasa sayang khut jeme Edi lewat sifatne khut aku;;NULL;;;;;;
hal ni Nemu ku bhe khut jeme Edi ketika iye menepati janji;;NULL;;;;;;
karena lot senang ni bages atene Edi iy bahagia khut gembira;;NULL;;;;;;
hal kae plin si kau nagat mekheken mekalak lain?;;NULL;;;;;;
suara si ku cinte Edi me suara kucing khut kelinci;;NULL;;;;;;
suara si Ndak aku pot Edi me suara biang khut manuk;;NULL;;;;;;
jike kau mahani buah gue ni deleng, cekhiteken model ketekhe gue,e?;;NULL;;;;;;
nde kau nemu mecekhok khut hewan, hal kae plin si akan kau tanyaken?;;NULL;;;;;;
menukhutmu, kae plin hal baik dari dunie, sembayang lime waktu khajin mekhe me kalak malet mampu;;NULL;;;;;;
menukhutkau, kae plin hal bukhuk dari dunie?;;NULL;;;;;;
jike kau jaddi fotografer, hal kae plin si kau Aken memotret, kae neleme ni kas kute ku nde ku Poto,i kakhene pemandangen ne mantap su;;NULL;;;;;;
kae plin ingeten si mahan kau senang, khayak sen khayak imbang ku;;NULL;;;;;;
kae plin ingeten si mahan kau sedih, malet me sen, malet toh kae pe mbahanen sen amin kuncine;;NULL;;;;;;
kae plin si mahan kau senang mepelajakhi bahase lain, cekhok ne,e malet pas tilukh te belajakh bahase kalak, tawe kite ngat;;NULL;;;;;;
kae plin si Aken mahan kau jaddi kalak kuat, khayak sen ku khayak mpus ku belajakh petincu pakek ilmu ngo Edi plin;;NULL;;;;;;
menukhutmu, imbang sekelas kau si mbacakh edi kakhene kae, iye bacakh kakhene khayak petayaen khanh tue ne pe ngajakhi iye mantap;;NULL;;;;;;
menukhutmu kae kejujukhen edi penting, kakhene kejujukhen,e kalak pecaye cube me kalak malet jujukh pasti bahaye;;NULL;;;;;;
kae plin keputusen si kau bahan khut kalak lain, kae naleme mahani tanggapen mecekhok khut kumpul,e;;NULL;;;;;;
kune keadaen sendah te secakhe ginalsial khut pendidikenmu lebih dari sendah, khoh khayak,en pengalamen ku kakhne khoh sendah kutoh cakhe dapet sen pe;;NULL;;;;;;
kune te nikhakhusken untuk menjalin hubungen dauh khut Khamahmu kae naleme me kau pe me lot pengalamen mu aku da sendah LDR biase plin amin saling percaye plin;;NULL;;;;;;
kae plin khencane tentang hubungen khut pasangenmu?;;NULL;;;;;;
kune cakhe kau menyeleseken masalah, kune neleme minum lawe bogoh kane dak emosi trus pikekhen dalan keluakh ne;;NULL;;;;;;
kae plin hal si paling kau syukukhi, kakhene kheken Allah aku sehat soh sendah Alhamdulillah syukukh aku gedi;;NULL;;;;;;
kae pendapet mu khut hubungen si sehat, ulang melaun mangan ulang telat edi amin kunci ne ulang melelo khangat;;NULL;;;;;;
kae plin si paling kau nagat khut pasangen mu, nagat aku keliling khut iye, dunie nde tekhase pung kami due kalak;;NULL;;;;;;
kae plin hak si kau anggap penting, mahani bahanen ulang ukhus kalak laim edi amin di;;NULL;;;;;;
sempurne untuk aku kumpul khut saudakhe ku khut mek ku wak ku;;NULL;;;;;;
kae plin si kau lakuken untuk mengisi waktu senggang;;NULL;;;;;;
te tenyate pasangenmu lot kekukhangen ne dauh si kau inginken tekhe cakhe kau mahan se;;NULL;;;;;;
kae si kau lakuken te kau alami pas malet kae pe bahanen pas hubungen;;NULL;;;;;;
te kau nemu mengundang kalak pe ni dunie nde mekhe mangan bonggi khut kau, ise si natemu kau ajak, kune;;NULL;;;;;;
hal kae plin si paling mahankau bersyukur saat ini, tong sehat ni kheken Allah;;NULL;;;;;;
te kau nemu mengubah buah hal tentang cakhemu dibesarkan keluarge, kae plin hal si akan kau ubah;;NULL;;;;;;
kenangen kae plin si paling bagimu sendah nde gedi kin kadang gedi nu;;NULL;;;;;;
kenangen kae plin si paling bukhuk si penah kau alami kae neleme malet me sen pening takal bahan ne yah;;NULL;;;;;;
sahabat,e pas kite mesui ate iye Nemu khibukh kite, pas kite malet me sen iye lot bantu se edi sahabat edi imbang gelakh ne;;NULL;;;;;;
kune ngat cinte khut kasih sayang ndos khut hidup, kakhene kasih sayang khut cinte,e makna ne bage se mbali edi sinak;;NULL;;;;;;
kae plin hal si akan kau bahan jika kau mbahan atukhen ni Khumah, masukhi piring mahani pekejaen ni Khumah;;NULL;;;;;;
menukhutmu hal kae plin si mbahan kalak bacakh, sungguh iye belajakh malet nisan iye;;NULL;;;;;;
cekhiteken sesuatu tentang kau si menukhutmu mungkin malet kedue kalak tuemu kautohi;;NULL;;;;;;
kae plin hal yang kau nagat lakuken khut imbang-imbang mu, lajakh khut iye khidi khut iye dak egois;;NULL;;;;;;
te kau nibagas ni lawe matang kae plin si yang akan kau lakuken, jemukh badan khidi trus jongker;;NULL;;;;;;
kae plin hal si bahankau mekhase nicintei, kae neleme baik iye bangku kae ku pido kheken ne edi nicintei aku di;;NULL;;;;;;
